undefinedin,victory_percentage,loose_percentage,split_percentage
2c2s,9d3h,53,45,2
2c2s,9d3c,52,46,2
2c2s,9d2d,61,35,4
2c2s,9d2h,65,31,4
2c2s,8s8d,18,81,1
2c2s,8s8h,18,81,1
2c2s,8s8c,17,82,1
2c2s,8s7s,45,52,3
2c2s,8s7d,47,50,3
2c2s,8s7h,48,50,2
2c2s,8s7c,47,50,3
2c2s,8s6s,47,51,2
2c2s,8s6d,49,48,3
2c2s,8s6h,49,49,2
2c2s,8s6c,49,49,2
2c2s,8s5s,48,50,2
2c2s,8s5d,50,47,3
2c2s,8s5h,50,47,3
2c2s,8s5c,50,48,2
2c2s,8s4s,49,48,3
2c2s,8s4d,51,46,3
2c2s,8s4h,51,46,3
2c2s,8s4c,51,46,3
2c2s,8s3s,50,47,3
2c2s,8s3d,52,45,3
2c2s,8s3h,53,45,2
2c2s,8s3c,52,45,3
2c2s,8s2d,65,31,4
2c2s,8s2h,65,31,4
2c2s,8d8s,18,81,1
2c2s,8d8h,19,80,1
2c2s,8d8c,18,81,1
2c2s,8d7s,48,50,2
2c2s,8d7d,46,52,2
2c2s,8d7h,48,49,3
2c2s,8d7c,48,50,2
2c2s,8d6s,49,49,2
2c2s,8d6d,46,51,3
2c2s,8d6h,50,48,2
2c2s,8d6c,49,49,2
2c2s,8d5s,50,47,3
2c2s,8d5d,48,50,2
2c2s,8d5h,51,47,2
2c2s,8d5c,50,47,3
2c2s,8d4s,52,46,2
2c2s,8d4d,49,49,2
2c2s,8d4h,52,45,3
2c2s,8d4c,51,46,3
2c2s,8d3s,53,45,2
2c2s,8d3d,50,48,2
2c2s,8d3h,53,44,3
2c2s,8d3c,52,45,3
2c2s,8d2d,61,35,4
2c2s,8d2h,65,31,4
2c2s,8h8s,18,81,1
2c2s,8h8d,18,81,1
2c2s,8h8c,18,81,1
2c2s,8h7s,48,50,2
2c2s,8h7d,48,49,3
2c2s,8h7h,45,52,3
2c2s,8h7c,48,50,2
2c2s,8h6s,49,49,2
2c2s,8h6d,49,48,3
2c2s,8h6h,46,51,3
2c2s,8h6c,49,48,3
2c2s,8h5s,50,47,3
2c2s,8h5d,50,47,3
2c2s,8h5h,48,50,2
2c2s,8h5c,50,47,3
2c2s,8h4s,51,46,3
2c2s,8h4d,52,46,2
2c2s,8h4h,49,49,2
2c2s,8h4c,51,46,3
2c2s,8h3s,53,45,2
2c2s,8h3d,53,44,3
2c2s,8h3h,50,48,2
2c2s,8h3c,53,45,2
2c2s,8h2d,65,31,4
2c2s,8h2h,61,35,4
2c2s,8c8s,17,82,1
2c2s,8c8d,18,81,1
2c2s,8c8h,18,81,1
2c2s,8c7s,47,50,3
2c2s,8c7d,48,50,2
2c2s,8c7h,48,50,2
2c2s,8c7c,45,52,3
2c2s,8c6s,48,49,3
2c2s,8c6d,49,49,2
2c2s,8c6h,49,49,2
2c2s,8c6c,47,51,2
2c2s,8c5s,50,48,2
2c2s,8c5d,50,47,3
2c2s,8c5h,50,47,3
2c2s,8c5c,48,50,2
2c2s,8c4s,51,46,3
2c2s,8c4d,52,46,2
2c2s,8c4h,51,46,3
2c2s,8c4c,49,48,3
2c2s,8c3s,52,45,3
2c2s,8c3d,53,45,2
2c2s,8c3h,53,45,2
2c2s,8c3c,50,47,3
2c2s,8c2d,65,31,4
2c2s,8c2h,65,31,4
2c2s,7s7d,17,81,2
2c2s,7s7h,17,81,2
2c2s,7s7c,17,82,1
2c2s,7s6s,45,52,3
2c2s,7s6d,48,50,2
2c2s,7s6h,47,50,3
2c2s,7s6c,47,50,3
2c2s,7s5s,47,51,2
2c2s,7s5d,49,48,3
2c2s,7s5h,49,48,3
2c2s,7s5c,48,49,3
2c2s,7s4s,48,49,3
2c2s,7s4d,50,47,3
2c2s,7s4h,50,47,3
2c2s,7s4c,49,48,3
2c2s,7s3s,49,48,3
2c2s,7s3d,51,46,3
2c2s,7s3h,51,46,3
2c2s,7s3c,51,46,3
2c2s,7s2d,65,31,4
2c2s,7s2h,65,31,4
2c2s,7d7s,17,81,2
2c2s,7d7h,18,80,2
2c2s,7d7c,17,81,2
2c2s,7d6s,47,50,3
2c2s,7d6d,45,52,3
2c2s,7d6h,48,49,3
2c2s,7d6c,48,49,3
2c2s,7d5s,49,48,3
2c2s,7d5d,47,51,2
2c2s,7d5h,49,48,3
2c2s,7d5c,49,48,3
2c2s,7d4s,50,47,3
2c2s,7d4d,48,50,2
2c2s,7d4h,51,46,3
2c2s,7d4c,50,47,3
2c2s,7d3s,51,46,3
2c2s,7d3d,49,48,3
2c2s,7d3h,52,45,3
2c2s,7d3c,51,46,3
2c2s,7d2d,62,34,4
2c2s,7d2h,65,31,4
2c2s,7h7s,17,81,2
2c2s,7h7d,18,81,1
2c2s,7h7c,17,81,2
2c2s,7h6s,47,50,3
2c2s,7h6d,48,49,3
2c2s,7h6h,45,52,3
2c2s,7h6c,47,50,3
2c2s,7h5s,49,48,3
2c2s,7h5d,49,48,3
2c2s,7h5h,46,51,3
2c2s,7h5c,49,48,3
2c2s,7h4s,50,47,3
2c2s,7h4d,51,46,3
2c2s,7h4h,48,50,2
2c2s,7h4c,50,47,3
2c2s,7h3s,51,46,3
2c2s,7h3d,52,46,2
2c2s,7h3h,48,49,3
2c2s,7h3c,51,46,3
2c2s,7h2d,65,31,4
2c2s,7h2h,62,35,3
2c2s,7c7s,17,82,1
2c2s,7c7d,17,81,2
2c2s,7c7h,17,81,2
2c2s,7c6s,47,50,3
2c2s,7c6d,47,50,3
2c2s,7c6h,47,50,3
2c2s,7c6c,45,52,3
2c2s,7c5s,48,49,3
2c2s,7c5d,49,48,3
2c2s,7c5h,49,48,3
2c2s,7c5c,47,51,2
2c2s,7c4s,50,47,3
2c2s,7c4d,50,47,3
2c2s,7c4h,50,47,3
2c2s,7c4c,48,49,3
2c2s,7c3s,51,46,3
2c2s,7c3d,51,46,3
2c2s,7c3h,51,46,3
2c2s,7c3c,49,49,2
2c2s,7c2d,65,30,5
2c2s,7c2h,65,31,4
2c2s,6s6d,18,81,1
2c2s,6s6h,17,80,3
2c2s,6s6c,17,81,2
2c2s,6s5s,47,50,3
2c2s,6s5d,49,48,3
2c2s,6s5h,49,48,3
2c2s,6s5c,48,49,3
2c2s,6s4s,47,49,4
2c2s,6s4d,50,47,3
2c2s,6s4h,50,47,3
2c2s,6s4c,49,47,4
2c2s,6s3s,49,48,3
2c2s,6s3d,51,46,3
2c2s,6s3h,51,46,3
2c2s,6s3c,51,46,3
2c2s,6s2d,64,31,5
2c2s,6s2h,64,31,5
2c2s,6d6s,17,81,2
2c2s,6d6h,18,80,2
2c2s,6d6c,17,81,2
2c2s,6d5s,49,48,3
2c2s,6d5d,46,51,3
2c2s,6d5h,49,48,3
2c2s,6d5c,49,48,3
2c2s,6d4s,50,47,3
2c2s,6d4d,47,50,3
2c2s,6d4h,50,47,3
2c2s,6d4c,50,47,3
2c2s,6d3s,51,46,3
2c2s,6d3d,48,48,4
2c2s,6d3h,52,45,3
2c2s,6d3c,51,46,3
2c2s,6d2d,60,36,4
2c2s,6d2h,65,31,4
2c2s,6h6s,17,81,2
2c2s,6h6d,18,80,2
2c2s,6h6c,17,81,2
2c2s,6h5s,49,48,3
2c2s,6h5d,49,48,3
2c2s,6h5h,46,51,3
2c2s,6h5c,49,48,3
